"","state_cens","sector","nobs","empl","member","covered","pctmem","pctcov","state2","unioncovpct_state","idvarstate","state","year","robotpct_state","stateyear","medianhouseinc","unemprate","femalepct","manufemp","healthins","oldage","wage_state"
"43",62,"Total",2998,2814395.59822501,154127.941516667,178588.418591667,0.05476413667202,0.0634553357958794,"TN",6.34553357958794,"Tennessee-2018","Tennessee","2018",27.7,"Tennessee-2018",52.375,5.5,56.8,13.2,89.9,9.2,44.5332
"44",74,"Total",9231,11986297.6193417,511943.757441667,653595.217491666,0.0427107512950897,0.0545285306870937,"TX",5.45285306870937,"Texas-2018","Texas","2018",17,"Texas-2018",60.629,4.9,57.9,8.4,82.3,11.1,50.3792
"45",87,"Total",2580,1343387.52518333,55633.7811333333,75857.0604166667,0.0414130538702011,0.0564669966697693,"UT",5.64669966697693,"Utah-2018","Utah","2018",23.4,"Utah-2018",71.414,3.2,60.6,10,90.6,6.1,48.2132
"46",13,"Total",2255,291644.893325,30619.3036416667,33839.3298916667,0.104988306760788,0.116029217839241,"VT",11.6029217839241,"Vermont-2018","Vermont","2018",21,"Vermont-2018",60.782,3.8,63.7,9.7,96,9.3,46.9490476190476
"47",54,"Total",3123,3878307.61308334,167784.428866667,213206.47185,0.043262280523777,0.0549741014838219,"VA",5.49741014838219,"Virginia-2018","Virginia","2018",19.9,"Virginia-2018",72.577,4.2,60.4,7,91.2,8.4,47.1476
"48",91,"Total",3015,3273608.08699167,648139.442625,669914.084358333,0.19798931479454,0.20464089512825,"WA",20.464089512825,"Washington-2018","Washington","2018",15.9,"Washington-2018",74.073,4.3,59,9.5,93.6,7.2,54.26375
"49",55,"Total",3075,684141.888258333,68464.3509083334,73791.1779000001,0.10007332265377,0.107859462499619,"WV",10.7859462499619,"West Virginia-2018","West Virginia","2018",13,"West Virginia-2018",44.097,5.8,49.1,8.1,93.6,10,45.1182608695652
"50",35,"Total",2325,2697847.14918334,218589.842825,233324.519741667,0.0810238048434258,0.0864854454994202,"WI",8.64854454994202,"Wisconsin-2018","Wisconsin","2018",29.8,"Wisconsin-2018",60.773,3.2,62.4,18.3,94.5,7.9,47.5924
"51",83,"Total",2241,235762.197425,15376.1872083333,18017.4587583333,0.0652190521359444,0.0764221698045731,"WY",7.64221698045731,"Wyoming-2018","Wyoming","2018",14.2,"Wyoming-2018",61.584,3.9,60.7,4.2,89.5,7.3,51.7628571428571
"52",63,"Total",3042,2041610.57678333,173820.561016667,200245.664458333,0.0851389393210411,0.0980822071433067,"AL",9.80822071433067,"Alabama-2019","Alabama","2019",32.1,"Alabama-2019",51.734,4.9,52.7,14.5,90.3,10.5,45.4283333333333
